,New_Date,VisitingTeam,VisitorStartingPitcherName,HomeTeam,HomeStartingPitcherName,VisitorRunsScored,HomeRunsScore,VisitorAB,VisitorH,Visitor_BA,VisitorHBP,VisitorBB,VisitorIBB,VisitorLOB,HomeAB,HomeH,Home_BA,HomeHBP,HomeBB,HomeIBB,HomeLOB,Home_team_won?,prior_year,year_x,playerName_x,teamAbbrev_x,winningPercentage_x,runsScoredPer9_x,hitsPer9_x,strikeoutsPer9_x,baseOnBallsPer9_x,homeRunsPer9_x,era_x,whip_x,ops_x,gidp_x,avg_x,year_y,playerName_y,teamAbbrev_y,winningPercentage_y,runsScoredPer9_y,hitsPer9_y,strikeoutsPer9_y,baseOnBallsPer9_y,homeRunsPer9_y,era_y,whip_y,ops_y,gidp_y,avg_y,year,teamAbbrev,hits,atBats,team_BA,totalBases,total_bases_avg,leftOnBase,LOB_avg,runs,runs_avg,strikeOuts,atBats,K_avg,baseOnBalls,BB_avg,rbi,RBI_avg,year_home,teamAbbrev_home,hits_home,atBats_home,team_BA_home,totalBases_home,total_bases_avg_home,leftOnBase_home,LOB_avg_home,runs_home,runs_avg_home,strikeOuts_home,atBats_home,K_avg_home,baseOnBalls_home,BB_avg_home,rbi_home,RBI_avg_home,current_year
10,2023-03-30,SF,Logan Webb,NYY,Gerrit Cole,0,5,30,4,0.133,0,3,0,6,32,8,0.25,0,2,0,5,True,2022,2022.0,Logan Webb,SF,.625,3.56,8.14,7.63,2.29,0.51,2.90,1.16,0.639,22.0,0.24,2022.0,Gerrit Cole,NYY,.619,3.63,6.91,11.53,2.24,1.48,3.50,1.02,0.65,12.0,0.209,2022.0,SF,1206.0,5149.0,0.234,2007.0,0.344,2219.0,0.38,678.0,0.116,1390.0,5149.0,0.27,543.0,0.093,639.0,0.109,2022.0,NYY,1423.0,5686.0,0.25,2434.0,0.377,2461.0,0.381,841.0,0.13,1362.0,5686.0,0.24,629.0,0.097,792.0,0.123,2023
11,2023-03-30,LAA,Shohei Ohtani,OAK,Kyle Muller,1,2,31,5,0.161,0,4,1,7,29,6,0.207,0,4,1,7,True,2022,2022.0,Shohei Ohtani,LAA,.625,2.44,6.72,11.87,2.39,0.76,2.33,1.01,0.574,10.0,0.203,2022.0,Kyle Muller,ATL,.500,8.03,9.49,8.76,5.84,1.46,8.03,1.70,0.782,0.0,0.26,2022.0,LAA,1252.0,5401.0,0.232,2087.0,0.351,2184.0,0.367,621.0,0.104,1516.0,5401.0,0.281,450.0,0.076,583.0,0.098,2022.0,OAK,1061.0,5000.0,0.212,1689.0,0.305,1975.0,0.357,524.0,0.095,1327.0,5000.0,0.265,413.0,0.075,503.0,0.091,2023
12,2023-03-30,CLE,Shane Bieber,SEA,Luis Castillo,0,3,31,4,0.129,0,0,0,4,30,7,0.233,1,1,0,5,True,2022,2022.0,Shane Bieber,CLE,.619,3.15,7.74,8.91,1.62,0.81,2.88,1.04,0.613,17.0,0.23,2022.0,Luis Castillo,DET,.---,0.00,4.91,9.82,0.00,0.00,0.00,0.55,0.286,0.0,0.143,2022.0,CLE,1321.0,5114.0,0.258,1998.0,0.352,2240.0,0.395,654.0,0.115,980.0,5114.0,0.192,415.0,0.073,628.0,0.111,2022.0,SEA,1319.0,5747.0,0.23,2226.0,0.34,2430.0,0.371,741.0,0.113,1478.0,5747.0,0.257,655.0,0.1,699.0,0.107,2023
13,2023-03-30,CLE,Shane Bieber,SEA,Luis Castillo,0,3,31,4,0.129,0,0,0,4,30,7,0.233,1,1,0,5,True,2022,2022.0,Shane Bieber,CLE,.619,3.15,7.74,8.91,1.62,0.81,2.88,1.04,0.613,17.0,0.23,2022.0,Luis Castillo,SEA,.571,3.35,7.06,10.00,2.69,0.78,2.99,1.08,0.611,11.0,0.212,2022.0,CLE,1321.0,5114.0,0.258,1998.0,0.352,2240.0,0.395,654.0,0.115,980.0,5114.0,0.192,415.0,0.073,628.0,0.111,2022.0,SEA,1319.0,5747.0,0.23,2226.0,0.34,2430.0,0.371,741.0,0.113,1478.0,5747.0,0.257,655.0,0.1,699.0,0.107,2023
14,2023-03-30,DET,Eduardo Rodriguez,TB,Shane McClanahan,0,4,32,6,0.188,0,3,0,8,29,6,0.207,0,3,0,4,True,2022,2022.0,Eduardo Rodriguez,DET,.500,4.85,8.60,7.12,3.36,1.19,4.05,1.33,0.719,10.0,0.247,2022.0,Shane McClanahan,TB,.600,2.81,6.28,10.50,2.06,1.03,2.54,0.93,0.563,15.0,0.194,2022.0,DET,1184.0,5105.0,0.232,1782.0,0.321,2041.0,0.368,533.0,0.096,1323.0,5105.0,0.259,342.0,0.062,507.0,0.091,2022.0,TB,1383.0,5751.0,0.24,2199.0,0.345,2441.0,0.383,712.0,0.112,1461.0,5751.0,0.254,526.0,0.083,681.0,0.107,2023
15,2023-03-30,PHI,Aaron Nola,TEX,Jacob deGrom,7,11,39,12,0.308,0,2,1,7,32,10,0.312,0,6,0,3,True,2022,2022.0,Aaron Nola,PHI,.458,3.29,7.38,10.32,1.27,0.83,3.25,0.96,0.603,9.0,0.219,2022.0,Jacob deGrom,NYM,.556,3.08,5.60,14.27,1.12,1.26,3.08,0.75,0.525,1.0,0.175,2022.0,PHI,1465.0,5810.0,0.252,2437.0,0.379,2395.0,0.373,782.0,0.122,1479.0,5810.0,0.255,498.0,0.078,759.0,0.118,2022.0,TEX,1335.0,5590.0,0.239,2201.0,0.358,2183.0,0.355,715.0,0.116,1460.0,5590.0,0.261,460.0,0.075,684.0,0.111,2023
16,2023-03-31,ARI,Merrill Kelly,LAD,Dustin May,2,1,34,7,0.206,0,1,0,6,31,5,0.161,0,9,0,12,False,2022,2022.0,Merrill Kelly,AZ,.619,3.46,7.50,7.95,2.74,0.94,3.37,1.14,0.657,14.0,0.226,2022.0,Dustin May,LAD,.400,5.10,6.30,8.70,4.20,0.90,4.50,1.17,0.611,3.0,0.194,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2022.0,LAD,1439.0,5695.0,0.253,2488.0,0.386,2542.0,0.394,866.0,0.134,1459.0,5695.0,0.256,638.0,0.099,832.0,0.129,2023
17,2023-03-31,NYM,David Peterson,MIA,Jesus Luzardo,1,2,29,4,0.138,0,4,0,5,32,10,0.312,0,1,0,7,True,2022,2022.0,David Peterson,NYM,.583,4.26,7.92,10.73,4.09,0.94,3.83,1.33,0.705,10.0,0.236,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,2022.0,NYM,1540.0,6049.0,0.255,2499.0,0.366,2715.0,0.398,845.0,0.124,1375.0,6049.0,0.227,586.0,0.086,827.0,0.121,2022.0,MIA,1145.0,4979.0,0.23,1803.0,0.328,2044.0,0.372,541.0,0.099,1319.0,4979.0,0.265,408.0,0.074,508.0,0.093,2023
18,2023-03-31,COL,Kyle Freeland,SD,Nick Martinez,4,1,35,9,0.257,1,3,0,8,29,5,0.172,0,2,0,5,False,2022,2022.0,Kyle Freeland,COL,.450,4.95,9.94,6.75,2.73,0.98,4.53,1.41,0.798,19.0,0.281,2022.0,Nick Martinez,SD,.500,3.72,8.13,8.04,3.47,1.27,3.47,1.29,0.713,13.0,0.239,2022.0,COL,1408.0,5540.0,0.254,2203.0,0.361,2405.0,0.394,698.0,0.114,1330.0,5540.0,0.24,453.0,0.074,669.0,0.11,2022.0,SD,1409.0,5661.0,0.249,2308.0,0.357,2411.0,0.373,789.0,0.122,1304.0,5661.0,0.23,662.0,0.102,737.0,0.114,2023
19,2023-03-31,CWS,Lance Lynn,HOU,Cristian Javier,3,6,37,11,0.297,1,1,0,9,28,7,0.25,1,7,0,6,True,2022,2022.0,Lance Lynn,CWS,.533,4.81,8.80,9.17,1.41,1.41,3.99,1.13,0.696,6.0,0.247,2022.0,Cristian Javier,HOU,.550,2.66,5.39,11.74,3.15,1.03,2.54,0.95,0.557,4.0,0.17,2022.0,CWS,1485.0,5814.0,0.255,2261.0,0.356,2436.0,0.384,715.0,0.113,1298.0,5814.0,0.223,412.0,0.065,674.0,0.106,2022.0,HOU,1506.0,5968.0,0.252,2540.0,0.381,2468.0,0.37,801.0,0.12,1272.0,5968.0,0.213,573.0,0.086,796.0,0.119,2023
